cliente_id,nome,data_adesao,data_cancelamento,ticket_medio,feedback
48,Manta Engenharia,05/01/2022,01/09/2023,18118.16, "O serviço foi razoável, mas poderia ser melhor"
157,Kyros Tecnologia,12/01/2022,,6130.32,"Excelente, o serviço foi rápido e eficaz."
105,Jetron Engenharia,13/01/2022,,2767.79,
160,Granitex Comércio,15/01/2022,10/01/2024,12184.85, "Não tenho grandes queixas, mas também não há nada de especial"
196,Impetus Indústria,16/01/2022,,7553.35,
204,Trilogia S.A.,24/01/2022,,17010.94,Fiquei impressionado com a qualidade do atendimento e serviço.
19,YNova Engenharia,26/01/2022,,16556.76,Fiquei muito satisfeito com a atenção e cuidado.
142,Valorix Indústria,28/01/2022,,9759.61,Profissionais muito capacitados e atenciosos.
34,Ypsilon Engenharia,03/02/2022,,15440.06,
35,Verus Engenharia,03/02/2022,24/12/2022,8063.35, "O trabalho foi feito, mas não foi tão detalhado quanto eu esperava"
41,Bravix Automação,25/02/2022,,17408.74,"Excelente serviço, muito bem feito!"
15,Estamina Indústria,02/03/2022,,2132.93,Equipe muito atenciosa e qualificada.
175,Absoluta Engenharia,03/03/2022,06/04/2024,18676.01,
197,Granitex Comércio,05/03/2022,,13793.22,Profissionais competentes e muito atenciosos.
153,EcoSphere Comércio,13/03/2022,08/10/2022,16865.41, "Foi um serviço funcional, sem grandes avanços ou retrocessos"
60,Quantech Logística,16/03/2022,19/06/2022,1400.39, "Não houve nada de errado com o serviço, mas também não foi um destaque"
14,Impetus Indústria,03/04/2022,,8690.29,
156,QuantaLog Soluções,16/04/2022,,3380.48,"Serviço excelente, com ótimo custo-benefício."
56,Volante Indústria,20/04/2022,,18649.44,"Atendimento de qualidade, serviço muito bem feito."
61,Y-Tech Indústria,23/04/2022,,14420.84,"Excelente qualidade e atendimento, estou satisfeito."
117,Volante Indústria,27/04/2022,31/01/2023,10249.75,
62,Nexon Consultoria,29/04/2022,,17258.58,Profissionais muito capacitados.
146,AlfaMax Comércio,02/05/2022,,6178.02,"Profissionais competentes, serviço de alta qualidade."
125,Celeris Soluções,03/05/2022,,10421.42,
79,Octanix Comércio,08/05/2022,,13484.83,"Serviço muito bom, gostei bastante."
101,Pivô Engenharia,25/05/2022,,2701.31,O atendimento foi rápido e eficiente.
205,Júpiter Tecnologia,27/05/2022,,2412.06,
211,Montis Engenharia,28/05/2022,19/11/2023,2667.93, "O serviço foi realizado como esperado, mas nada inovador"
97,Zentric Comércio,29/05/2022,,4589.23,
149,Telecrux Tecnologia,05/06/2022,,6798.15,"Serviço eficiente e rápido, muito bom!"
123,Estelar Engenharia,07/06/2022,,1546.46,
72,Estamina Indústria,08/06/2022,,5067.32,"Excelente atendimento, muito atenciosos!"
198,Helix Comércio,18/06/2022,30/08/2022,4550.09, "O serviço foi bom, mas ainda há espaço para melhorar"
50,Xenith Comércio,20/06/2022,,9386.89,
127,Ferrovia Sul Logística,20/06/2022,,5984.76,O atendimento foi cordial e rápido.
6,BetaWorks Tecnologia,26/06/2022,,3763.76,
162,Raízes Agropecuária,26/06/2022,,8982.25,Profissionais competentes e atenciosos.
190,Radiant Engenharia,28/06/2022,,10286.41,
67,Utrion Serviços,29/06/2022,,15747.07,"Serviço muito bom, cumpriram o prometido."
147,Zantech Consultoria,29/06/2022,,18299.87,
95,Impetus Indústria,30/06/2022,,17455.88,"Serviço rápido, eficaz e de excelente qualidade."
148,Yara Indústria Química,06/07/2022,08/04/2024,16379.92, "Não tenho grandes críticas, mas também não tenho grandes elogios"
104,Kalon Serviços,20/07/2022,,15877.8,Estou muito satisfeito com o serviço prestado.
180,Hórus Engenharia,25/07/2022,28/08/2022,13553.68,
177,Valorix Indústria,02/08/2022,,11278.53,"Serviço muito bom, cumpriram o prometido."
150,Verus Engenharia,06/08/2022,25/04/2024,12777.6, "O serviço foi executado conforme solicitado, mas não teve um toque especial"
25,TechNova Engenharia,14/08/2022,,2578.35,
114,Cydra Indústria,21/08/2022,25/06/2023,8950.95, "O serviço foi entregue conforme prometido, mas não superou minhas expectativas"
43,Stratagem Engenharia,29/08/2022,,18040.83,
93,Brastel Telecomunicações,02/09/2022,10/07/2023,3544.59, "O serviço foi entregue com muitos erros, o que me deixou frustrado"
20,Leven Engenharia,06/09/2022,14/09/2022,4235.0, A qualidade do serviço foi bem abaixo do esperado
106,Ustek Comércio,06/09/2022,17/09/2024,4711.02,
219,Topaz Comércio,15/09/2022,,15989.89,"Ótima experiência, ficamos satisfeitos."
192,Ciprox Indústria,25/09/2022,,2360.51,"Excelente, tudo foi perfeito."
193,Fenix Tecnologia,05/10/2022,13/03/2024,9766.13,
111,Veratex Consultoria,10/10/2022,,11174.27,"Serviço muito bom, realmente vale a pena."
171,Evertech Tecnologia,16/10/2022,03/04/2024,7644.06, "O serviço foi incompleto, algumas partes não foram feitas corretamente"
